,Symbols,Source_urls,Oustanding_Shares,Raw_outstanding_share_vals
DLR,DLR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1297996/000155837022016456/dlr-20220930x10q.ht,"287,522,275",287522275
DFS,DFS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1393612/000162828022027220/dfs-20220930.htm',"273,225,765",273225765
DISH,DISH,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1001082/000155837022015893/dish-20220930x10q.h,"292,270,989",292270989
DIS,DIS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1744489/000174448922000213/dis-20221001.htm',"1,823,591,988",1823591988
DG,DG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/29534/000155837022018302/dg-20221028x10q.htm',"223,574,799",223574799
DLTR,DLTR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/935703/000093570322000073/dltr-20221029.htm',"221,184,479",221184479
D,D,'https://www.sec.gov/ix?doc=/Archives/edgar/data/715957/000156459022036712/d-10q_20220930.htm',"833,275,205",833275205
DPZ,DPZ,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1286681/000095017022019533/dpz-20220911.htm',"35,399,379",35399379
DOV,DOV,'https://www.sec.gov/ix?doc=/Archives/edgar/data/29905/000002990522000040/dov-20220930.htm',"140,353,950",140353950
DOW,DOW,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1751788/000175178822000131/dow-20220930.htm',"703,759,269",703759269
DTE,DTE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/936340/000093634022000205/dte-20220930.htm',"193,741,991",193741991
DUK,DUK,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1326160/000132616022000279/duk-20220930.htm',"770,062,772",770062772
DD,DD,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1666700/000166670022000077/dd-20220930.htm',"496,788,948",496788948
DXC,DXC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1688568/000168856822000073/dxc-20220930.htm',"230,065,223",230065223
EMN,EMN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/915389/000091538922000051/emn-20220930.htm',"119,990,364",119990364
ETN,ETN,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1551182/000155118222000024/etn-20220930.htm',"397,700,000",397700000
EBAY,EBAY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1065088/000106508822000030/ebay-20220930.htm',"542,659,087",542659087
ECL,ECL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/31462/000155837022016340/ecl-20220930x10q.htm',"284,828,060",284828060
EIX,EIX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/827052/000082705222000076/eix-20220930x10q.htm,"381,874,674",381874674
EW,EW,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1099800/000109980022000025/ew-20220930.htm',"618,260,499",618260499
EA,EA,'https://www.sec.gov/ix?doc=/Archives/edgar/data/712515/000071251522000068/ea-20220930.htm',"276,080,234",276080234
ELV,ELV,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1156039/000115603922000084/elv-20220930.htm',"238,827,582",238827582
LLY,LLY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/59478/000005947822000250/lly-20220930.htm',"950,177,900",950177900
EMR,EMR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/32604/000003260422000041/emr-20220930.htm',"591,400,000",591400000
ENPH,ENPH,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1463101/000146310122000112/enph-20220930.htm',"135,923,572",135923572
ETR,ETR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/65984/000006598422000185/etr-20220930.htm',"203,483,660",203483660
EOG,EOG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/821189/000082118922000056/eog-20220930.htm',"587,389,496",587389496
EPAM,EPAM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1352010/000135201022000057/epam-20220930.htm',"57,513,488",57513488
EQT,EQT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/33213/000003321322000028/eqt-20220930.htm',"367,046,005",367046005
EFX,EFX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/33185/000003318522000058/efx-20220930.htm',"122,443,429",122443429
EQIX,EQIX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1101239/000162828022028466/eqix-20220930.htm',"92,538,115",92538115
EQR,EQR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/906107/000095017022020464/eqr-20220930.htm',"377,918,920",377918920
ESS,ESS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/920522/000092052222000062/ess-20220930.htm',"64,753,812",64753812
EL,EL,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1001250/000100125022000182/el-20220930.htm',"231,270,298",231270298
ETSY,ETSY,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1370637/000137063722000081/etsy-20220930.htm',"125,688,316",125688316
RE,RE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1095073/000109507322000026/re-20220930.htm',"39,165,034",39165034
EVRG,EVRG,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1711269/000171126922000049/evrg-20220930.htm',"229,536,385",229536385
ES,ES,'https://www.sec.gov/ix?doc=/Archives/edgar/data/72741/000007274122000030/es-20220930.htm',"348,307,416",348307416
EXC,EXC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1109357/000110935722000113/exc-20220930.htm',"993,742,030",993742030
EXPE,EXPE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1324424/000132442422000065/expe-20220930.htm',"150,567,424",150567424
EXPD,EXPD,'https://www.sec.gov/ix?doc=/Archives/edgar/data/746515/000156459022037052/expd-10q_20220930.ht,"159,136,384",159136384
EXR,EXR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1289490/000162828022028483/exr-20220930.htm',"133,921,528",133921528
XOM,XOM,'https://www.sec.gov/ix?doc=/Archives/edgar/data/34088/000003408822000064/xom-20220930.htm',"4,118,293,421",4118293421
FFIV,FFIV,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1048695/000104869522000033/ffiv-20220930.htm',"60,368,610",60368610
FDS,FDS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1013237/000101323723000006/fds-20221130.htm',"38,251,828",38251828
FAST,FAST,'https://www.sec.gov/ix?doc=/Archives/edgar/data/815556/000081555622000041/fast-20220930.htm',"572,759,880",572759880
FRT,FRT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/34903/000003490322000068/frt-20220930.htm',"81,209,479",81209479
FDX,FDX,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1048911/000095017022026825/fdx-20221130.htm',"252,397,140",252397140
FITB,FITB,'https://www.sec.gov/ix?doc=/Archives/edgar/data/35527/000003552722000242/fitb-20220930.htm',"686,396,166",686396166
FSLR,FSLR,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1274494/000127449422000040/fslr-20220930.htm',"106,605,610",106605610
FE,FE,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1031296/000103129622000069/fe-20220930.htm',"571,753,195",571753195
FIS,FIS,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1136893/000113689322000180/fis-20220930.htm',"593,379,456",593379456
FISV,FISV,'https://www.sec.gov/ix?doc=/Archives/edgar/data/798354/000079835422000019/fisv-20220930.htm',"635,028,076",635028076
FLT,FLT,'https://www.sec.gov/ix?doc=/Archives/edgar/data/1175454/000162828022028729/flt-20220930.htm',"73,752,362",73752362
FMC,FMC,'https://www.sec.gov/ix?doc=/Archives/edgar/data/37785/000003778522000090/fmc-20220930.htm',"125,965,923",125965923
F,F,'https://www.sec.gov/ix?doc=/Archives/edgar/data/37996/000003799622000073/f-20220930.htm',"3,949,642,02",394964202
